,episode,win_ratio,avg_reward,avg_step_count,epsilon
0,1000,0.0,-16.0,547.73,0.0
1,2000,0.0,51.6,681.08,0.0
2,3000,0.0,65.4,672.93,0.0
3,4000,0.0,93.4,842.94,0.0
4,5000,0.0,107.6,892.16,0.0
5,6000,0.01,103.8,849.94,0.0
6,7000,0.01,103.4,753.05,0.0
7,8000,0.01,119.6,873.38,0.0
8,9000,0.0,123.2,925.65,0.0
9,10000,0.02,126.5,909.57,0.0
10,11000,0.01,131.5,940.56,0.0
11,12000,0.03,131.0,932.33,0.0
12,13000,0.0,126.0,888.64,0.0
13,14000,0.02,127.2,868.84,0.0
14,15000,0.01,135.3,948.92,0.0
15,16000,0.01,140.9,939.12,0.0
16,17000,0.0,146.4,975.58,0.0
17,18000,0.01,143.2,977.12,0.0
18,19000,0.01,138.5,960.89,0.0
19,20000,0.02,135.5,874.3,0.0
20,21000,0.0,151.5,983.96,0.0
21,22000,0.0,146.5,983.47,0.0
22,23000,0.01,153.1,983.12,0.0
23,24000,0.12,59.1,139.09,0.0
24,25000,0.93,247.0,283.11,0.0
